relative_path	source_file_sha256	target_file_sha256	embedded_configs_hash	source_normalized_selection_sha256	target_normalized_selection_sha256	normalized_selection_equal	byte_identical
mb/b42e1a32c257dd3a53fc497cb4a3d70b87ae190ee39a20f52e5b865c415d4384.best_config	fd7e9550eb29821b0ee093067fb9ac49fd4727ed39bc2510ecdb0b658c81240b	4f31d822909a16d5c6f7f3c41d76403a01cd23865580c6ebfbe6b0c503148b53	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	true	false
n5/db59e5735d6c12a4c778b9281cfe6a76e548ee7973963394450b7457dd5be297.best_config	7b45688f67b6ba9c4ee04c08cb587979d4a4f1225754fc267eadb5a5e72c873c	3353d44fd905d21a13fbf401d59270fee0ff7b1b4f9f6efeaf59f557f103fcb7	aa59ecf027f8e0882448e686b9f2733e504f22eeba30fafef4453b78f6745ab5	bdfcc11c6e9e85800883b909eed53627acfa6a1d0635555ca4b5e366a3698e27	9ed925268b26c82d45294a3df5cd23e4fbae2e9084b9a51c477d8f5e696bc5b8	false	false
p6/d7ea6bdd2cbfd34bff241bcb59f0dad8dde9505ff3aca3b842c694ad1214d147.best_config	cf63a245e6dd0702eab235ad8c02e1dd5f3bb7c707d48b382be0450729804a1f	4ad9789e26e68d465a38e22ef77d90732faaf0681eb08ed3f47db28ad6f13e4b	b14aec259222f7b44b1dad3167d12a680f5f588c0b65f17b7babaec5bb8b1c62	843ed961ea7aafbd23bc7331ab71728043ce901832ced9a9943871d1a353df5e	84bb913430b4fbd28fb71ded64b11e25bdc2a044304b124c119c736224a04f0a	false	false
q3/d07689887c8fba53fc10537d055f02fd5584b820e8f9711b10e8a6cb77395c8f.best_config	727db9ffec2fffd3b9996f8d91d6e57431ffc722f57beb7e31e021a2451968ab	9e2dbd5438c7a0c0b70fec3e36d6ad148b11632adf25533488487525b8d89263	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	1d61270e1ab69d2ef57d5c34259843578655f5189f881351fe91a03a3c53e16a	1d61270e1ab69d2ef57d5c34259843578655f5189f881351fe91a03a3c53e16a	true	false
r7/b05fae69d1ee8167c7ac34ad25854ac0f1d4e4513e0c5604fa8acce1c65e9c5c.best_config	157049c2220a6eca17a2e7bebc00b1c38b6b9af0b4b11d8791631b0a27224114	387a1038eef8a267bcf1677a5c7418752378aee08c3a14a383f2f2238fedb426	b14aec259222f7b44b1dad3167d12a680f5f588c0b65f17b7babaec5bb8b1c62	84bb913430b4fbd28fb71ded64b11e25bdc2a044304b124c119c736224a04f0a	843ed961ea7aafbd23bc7331ab71728043ce901832ced9a9943871d1a353df5e	false	false
rn/d5a4e102b9c44b72d7eb72783fdcce72254cd7edaf2b9a3c7410602fd7dc6488.best_config	3fdf1e39234798ee4c0b8d6e8739da3ffa98a6477287354be95a2165631b2e5f	2cdfbe3b194336e0eb5bc796595c113fbc696bb0a674c3ac1b69c90e7894622e	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	true	false
s7/d8e2d4bfffc4361a150423c553f6a0a9f85582f50a5a7e46ce5c3689e0af87a6.best_config	1fce8cb5600779529fbd4a8063803994bb1fcfc7fedf2b9e86114ed9b550d0ac	6465b53e5ab78e63e0dc5a09777abdbd0c4e6b450e46453754749e19134a473a	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	true	false
sn/20fc9bf7562b7c0e6bfdef32b3a510db800321afa571b4c700dc7b6789e2c479.best_config	715d14cb099f33dc9af5a39da9c32023d3c0b591a5aa613798d2692ce3e80ea4	57e7109defb1be77fbc65a1694af5bc73b4b00348ff9da7a2511ca00213acf3e	aa59ecf027f8e0882448e686b9f2733e504f22eeba30fafef4453b78f6745ab5	bdfcc11c6e9e85800883b909eed53627acfa6a1d0635555ca4b5e366a3698e27	bdfcc11c6e9e85800883b909eed53627acfa6a1d0635555ca4b5e366a3698e27	true	false
ss/45bd98abdf28950df04cdc46032eea769e206ffb704fa44277f5318983af6bc3.best_config	60d4d605fdf7e3869d84ca224b04d3cca8a75db971fa670f9d36134ee7b70bcd	67b62345114ecb488b9f6d0029831b975075ca58222d3f60bad4560bb2cb5a8a	019076bab6d8b8be95f838440b6ebbb2b0f313cf3d7a6b08ff42ada1b257d7c8	12b93ef7e36d1b16fa942e098a4089e53bf78185dfeb4e48719b3da79315f4d0	12b93ef7e36d1b16fa942e098a4089e53bf78185dfeb4e48719b3da79315f4d0	true	false
t2/376f9a5750ee3984b6694f17727888c4b867c809ba059e161aad0e5677306950.best_config	216aa234fd3d10833b9c8c2d5879ec9d1e6095e119a17d8666d2a5db172ab83e	7c755109458cc48209b8b828d59051abcda8d25e199649e8e7b1ddff0f2d1b17	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	true	false
ul/968b94a70c97c02ca87d8954da68f610449f635705ba763d2d338f929298bf34.best_config	1adf208902cda13f9ef5515c79fe0406f4f8d2d9bd8d59deaf664936e879d520	a024cf004f5d17caed7994c6a29da52fc345b195d9e909ac9b12705f67ede28c	fb5fc2d7f8690dd8f9e7d4c3d2c31c045e5712e2f46e9e637c85d7c16e8f4596	f29f20c6ee7cd37887ab77800f27007cd0919cf277beb74f50938eb677eeebe6	f29f20c6ee7cd37887ab77800f27007cd0919cf277beb74f50938eb677eeebe6	true	false
us/05964700f25657e5ca30e74c6cf9c0c35233418e6895de86faa2b7d75a1e3535.best_config	a693a02bf3f19c09edf070b58ee371c5969b58725dc1c5c245430b7fc88d8088	eb004d4e50b59e7027233d613b0f447a460562009a221f00217ea2da5608f993	019076bab6d8b8be95f838440b6ebbb2b0f313cf3d7a6b08ff42ada1b257d7c8	12b93ef7e36d1b16fa942e098a4089e53bf78185dfeb4e48719b3da79315f4d0	12b93ef7e36d1b16fa942e098a4089e53bf78185dfeb4e48719b3da79315f4d0	true	false
vp/8f4297e7600e3e42bb4d87a2fb010e00b1c9bba3ab4ed2f9f8734b52e36159fd.best_config	b97640190547cbcfd573c1d1f28fd4b04ce7b86e9ca6da7d6afd1bc2ff025287	4258396d071705aca37e4c215dc62bcf587267861b4f74c9733524339273a23d	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	false	false
vt/7233398f13452e9cffaf9ce5ffc365f474e1f5be6438d968e419ec86ff2c48d8.best_config	e30cd9c7ad810b28b7dbe6159f802670993bbeace044aceecd5587dbf4ae181c	ff958478a2259a16657d2b4bcaa6592fd445c5103e72ef94b9a293f3d353d949	aa59ecf027f8e0882448e686b9f2733e504f22eeba30fafef4453b78f6745ab5	9ed925268b26c82d45294a3df5cd23e4fbae2e9084b9a51c477d8f5e696bc5b8	bdfcc11c6e9e85800883b909eed53627acfa6a1d0635555ca4b5e366a3698e27	false	false
wb/7129c35f0a6f37e1ba757d2a01801e5e61b1b71f47017dd34ddec3bfc7b72427.best_config	0cc843423b65173474f1f20f945eec51185be37ec41fa08b96d392f8696b8a51	84aeb71ac2334a881e19476824b991d3941dcef49f51876cc89d2d0040b01e11	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	true	false
xv/09d5a047da928b4660331ee323350804c65a2f3d84bafc1315a427875935240c.best_config	b14596dd8318746d3e9efb40d9e0f49cadafe50319a1a375a0e79d5b9c4bde6b	78dcb63f7911b5d9b9eed0bfdeef7b71547460d4cd7463d281b20ba884df6861	b14aec259222f7b44b1dad3167d12a680f5f588c0b65f17b7babaec5bb8b1c62	84bb913430b4fbd28fb71ded64b11e25bdc2a044304b124c119c736224a04f0a	84bb913430b4fbd28fb71ded64b11e25bdc2a044304b124c119c736224a04f0a	true	false
yh/a60ebb2baacf2c77f19593a7765e43339638f2931558abcf9497f15489f16067.best_config	98cd3a70bbe1b05a6a6b9fd3b8cb17eb6a3255c800ced02b5211e41f8df29d43	7287545b29b9dbc035ea250c52858d02d4902e9ff6c808ba29fa0a119295848a	aa59ecf027f8e0882448e686b9f2733e504f22eeba30fafef4453b78f6745ab5	bdfcc11c6e9e85800883b909eed53627acfa6a1d0635555ca4b5e366a3698e27	9ed925268b26c82d45294a3df5cd23e4fbae2e9084b9a51c477d8f5e696bc5b8	false	false
